Dataset,VMD_DC,VMD_IMF1,VMD_IMF2,VMD_IMF3,VMD_Alpha,VMD_K,VMD_Tau,Temp_Best_Model,Temp_RMSE,SVR_Prediction,LSTM_Prediction,Combined_Prediction,SOH
B0005,0.0081,-0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0062,-0.0003,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0043,0.0005,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0024,-0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0007,-0.0038,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0004,0.0023,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0009,-0.0027,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0010,-0.0040,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0009,0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0009,-0.0034,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0007,-0.0032,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0002,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0003,0.0028,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0005,0.0023,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0009,0.0038,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0009,0.0021,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0007,0.0031,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0005,0.0005,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0001,0.0013,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0001,0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0003,-0.0019,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0001,0.0002,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0002,-0.0002,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0006,-0.0019,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0009,-0.0015,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0012,-0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0014,0.0001,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0014,-0.0002,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0011,0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0004,0.0024,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0000,-0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0003,-0.0003,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0005,0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0008,-0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0010,-0.0014,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0010,-0.0007,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0010,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0008,-0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0006,-0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0003,-0.0007,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0001,-0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0008,-0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0014,0.0019,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0018,0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0019,0.0024,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0017,0.0022,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0014,0.0022,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0010,0.0013,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0005,-0.0007,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0002,0.0031,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0000,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0000,-0.0008,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0002,0.0012,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0005,-0.0024,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0010,-0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0016,-0.0020,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0023,-0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0030,-0.0013,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0036,0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0039,0.0035,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0035,0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0029,0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0021,0.0014,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0015,-0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0009,-0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0004,-0.0023,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0001,0.0007,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0000,-0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0002,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0004,0.0008,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0005,-0.0019,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0006,-0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0007,-0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0007,-0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0007,0.0001,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0005,0.0032,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0001,0.0039,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
